firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
GoDaddy,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue all Russian services
Goodvalley,Denmark,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Gowling,Canada,Industrials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Stopped business in Russia
Grant Thornton,United States,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,closing business in Russia
Grid Dynamics,United States,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,close offices in Russia & cease all operations
Grundfos,Denmark,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Closes business in Russia and Belarus
H&amp;M,Sweden,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Winding down business entirely
HP Enterprise (Independent from HP Inc.),United States,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exit Russia & Belarus
HP Inc.,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,HP INC.,,other,2022-12-24,2022-12-24,yes,shut down business in Russia
Halewood,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Fully pull out of Russia
Halliburton,United States,Energy,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,No longer conducts operations in Russia
Halyk Bank,Kazakhstan,Financials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Hampidjan,Iceland,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,full withdrawal
Haniel,Germany,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,unwind all Russian business
Hansgrohe,Germany,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,cease all activities with Russia
Hard Rock Café,United States,Consumer Staples,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,fully close all stores in Russia
Harvia,Finland,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,HARVIA OYJ,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Hays plc,United Kingdom,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,close Russian business
Hearst Communications,United States,Communication Services,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,other,2022-12-24,2022-12-24,yes,terminate the licensing agreements & turn over its equity to Russian subsidiary
Heidrick &amp; Struggles,United States,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,ceased all operations in Russia
Heineken,Netherlands,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Sold all operations in Russia
Heinzmann,Germany,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,End all Russian deliveries
Hempel,Denmark,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exit Russia
Henkel,Germany,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit business activities in Russia
Herbert Smith Freehills,Australia,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Ended operations in Russia; local partners and counsels open independent firm
Hertz,United States,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,completely withdrawn from Russia
Hesburger,Finland,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia
Hogan Lovells,United Kingdom,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
Holcim,Switzerland,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian market completely
Home Credit,Czech Republic,Financials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Honeywell,United States,Industrials,unclassified,yes,,,,sold,2023-08-23,2022-12-24,no,Wind down all business
Hortex,Poland,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Houthoff,Netherlands,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate all relationships with Russia
Huhtamaki,Finland,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,divest Russian operations
Hypertherm Associates,Netherlands,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Fully close all Russian offices
Hyve,United Kingdom,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
IBM,United States,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,wind down business in Russia
ID Logistics,France,Industrials,unclassified,yes,,,,other,2025-05-21,2025-05-21,no,Ended all activity in Russia
IDEXX Labs,United States,Health Care,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,wind down operations & liquidate subsidiary
IMAX,Canada,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia
IMCD,Netherlands,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia completely
IMI Plc,United Kingdom,Materials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
ISS,Denmark,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,ISS divested its Russian activities during March and is no longer active in Russia
Icosagen,Estonia,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Ended business in Russia and Belarus
Ikea,Sweden,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Closed stores and sold factory.
Imperial Brands,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,transfer Russian business to local partners
InPost,Poland,Industrials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,stop purchasing services/goods from Russian & Belorussian companies
Inchcape,United Kingdom,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Incoff Aerospace,Slovakia,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,no longer trade with the Russians
Inditex,Spain,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,close Russian stores and suspend sales
Infineon,Germany,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,liquidate Russian entity
Insydium,United Kingdom,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Forgo all Russian licenses
Intercontinental Exchange,United States,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,curtail Russian access to capital markets
Intercontinental Hotels (IHG),United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Ceased operations in Russia
International Biathlon Union,Austria,NGO,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Russians to compete as neutral athletes
International Boxing Federation,France,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban on all Russian competition
International Cat Federation,Canada,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban Russian cats from competitions
International Cycling Union,United States,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban on all Russian competition
International Ice Hockey Federation,Switzerland,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban on all Russian competition
International Olympic Committee,Switzerland,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban Russian athletes from competing
International Paper,United States,Materials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
International Paralympic Committee,Germany,NGO,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,bar Russian athletes
International Skating Union,Switzerland,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban on all Russian competition
International Weightlifting Federation,Switzerland,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban on all Russian competition
Interpublic Group,United States,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
Intracom Telecom,Greece,Communication Services,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Iveco,Italy,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
J Sainsbury,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove products from Russia
JD Sports,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,suspend operations in Russia
JKX,United Kingdom,Energy,unclassified,yes,,,,other,2025-05-21,2025-05-21,no,Disposing of all its Russian assets
JLL,United States,Real Estate,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,separate operations in Russia
JYSK,Denmark,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,temporarily close Russian stores
Jabil,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,closed its site in Russia
Jamie Oliver,United Kingdom,Consumer Staples,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,other,2022-12-24,2022-12-24,yes,exit franchise agreement
Jan de Nul,Luxembourg,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,close rep office and withdraw ships
JetBrains,Czech Republic,Information Technology,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspend all activity indefinitely
John Wood Group,United Kingdom,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia
Johnson Matthey,United Kingdom,Materials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,leave Russia and end all business there
Jotun,Norway,Materials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Suspend business in Russia
Jägermeister,Germany,Consumer Staples,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Fully stopped business in Russia
KION Group,Germany,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
KLP,Norway,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit all investment holdings in Russia
KPMG,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leaving Russia completely
Kalnapilis-Taurus,Lithuania,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,termination of export ties and production in Russian Market
Kamstrup,Denmark,Utilities,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Completely exit Russia
Kearney,United States,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,officially withdrawn from Russia
Kelly,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leave Russia & transition operations
Kemira,Finland,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,KEMIRA OYJ,,sold,2022-12-24,2022-12-24,yes,exit Russia completely
Kennametal,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,KENNAMETAL INC.,,sold,2023-08-23,2023-08-23,no,Completely exit Russia
Kennedys,United States,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia
Kesko,Finland,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2022-12-24,no,Withdrawn all business
Kiilto,Finland,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,fully exited from Russia
Kingspan,Ireland,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exit Russia
Kinross Gold,Canada,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,complete exit from Russia by selling Russian operations
Knorr-Bremse,Germany,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,will not deliver any more products or systems for Russian locomotives; end JVs
Koch Industries,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,sell Russian business to a local enterprise
Kofax,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,curtail all sales of software and close sites in Russia
Koskisen,Finland,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Krispy Kreme,United States,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,winding down business in Russia
L'Occitane,France,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
LVMH,France,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,end all operations in Russia
Lamb Weston,United States,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian market
Latham &amp; Watkins,United States,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,wind down Russian presence
Lear Corporation,United States,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,fully exit Russia
Legrand,France,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Left Russia
Leica Camera AG,Germany,Information Technology,unclassified,yes,,,,sold,2023-08-23,2022-12-24,no,Fully withdrawn from Russia
Leptos Estates,Cyprus,Real Estate,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Operations closed down in Russia
Lifan,China,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia
Lincoln Electric,United States,Industrials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,ceased all operations
Lindab,Sweden,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Lindstrom Group,Finland,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Lindt-Sprungli,Switzerland,Consumer Staples,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,suspend operations in Russia
Linklaters,United Kingdom,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,"end operations in Russia, with entities connected to the Russian state; local partners and counsel form own firm"
Lloyd's Register,United Kingdom,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw services to Russia
Logitech,Switzerland,Information Technology,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,suspend shipments to Russia
London Stock Exchange Group,United Kingdom,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,curtail Russian access to capital markets
Lufthansa,Germany,Industrials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspended flights and ended Russian aircraft maintenance
Luxoft,Switzerland,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian market
LyondellBasell,Netherlands,Materials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,end all business
MAN,Germany,Industrials,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,"end delivery, supply of trucks, and sales to Russia"
MSCI,United States,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,curtail Russian access to capital markets
MSU S.A.,Poland,Consumer Discretionary,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,ceased all business activities in Russia
Maersk,Denmark,Industrials,unclassified,yes,,,,sold,2023-08-23,2022-12-24,no,Divested all assets from Russia
Makrochem SA,Poland,Industrials,unclassified,yes,,,,other,2025-05-21,2025-05-21,no,Terminated all business with its Russian and Belarussian counterparts
Mannheimer Swartling,Sweden,Industrials,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,end all operations
Mantsinen,Finland,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Marsh McLennan,United States,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exit operations in Russia
Marugame,Japan,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia and end all franchises operating in Russia
